Symptom(s),Possible Disease,Precautions,Treatment
"Low Blood Pressure, Cough, Swelling in Legs",Epilepsy,"Stay hydrated, Regular health checkups","Antifungal Medication, Emergency Medical Help"
"Blurred Vision, Difficulty Swallowing, Shortness of Breath, Tingling Sensation",Arrhythmia,Avoid bright lights,"Dietary Supplements, Emergency Medical Help, Chemotherapy"
"Shortness of Breath, Swelling in Legs, Tingling Sensation, Abdominal Pain",Arrhythmia,"Wash hands frequently, Get proper nutrition","Antihistamines, IV Fluids, Eye Drops"
"Nausea, Fever",Dengue,Reduce caffeine intake,"Shockwave Therapy, Cognitive Therapy"
"Weight Loss, High Blood Pressure",Bronchitis,Avoid crowded places,"Skin Creams, Radiation Therapy, Oral Rehydration"
"Tremors, High Blood Pressure, Weight Loss, Sensitivity to Light",Hypertension,Stay hydrated,Skin Creams
"Fever, Loss of Appetite",Epilepsy,Use an inhaler,"Steroids, Surgery"
"Swelling in Legs, Mood Swings, Fever, Swollen Glands",Dengue,"Avoid allergens, Reduce sugar intake, Stay hydrated","Oxygen Therapy, Eye Drops, Shockwave Therapy"
"Headache, Shortness of Breath",Multiple Sclerosis,"Reduce caffeine intake, Use an inhaler","Shockwave Therapy, Blood Thinners, Vitamin Supplements"
"Excessive Thirst, Chest Pain, Diarrhea, High Blood Pressure",Epilepsy,Stay hydrated,"Oxygen Therapy, Blood Thinners, Insulin"
"Weight Loss, Joint Pain",Vertigo,Avoid smoking,"Antiviral Drugs, Blood Thinners"
"High Blood Pressure, Cough",Hypertension,"Exercise regularly, Reduce caffeine intake","Oxygen Therapy, Paracetamol, Radiation Therapy"
"Tingling Sensation, Mood Swings, Low Blood Pressure, Headache",Flu,"Rest, Get proper nutrition","Inhalers, Steroids"
"Swollen Glands, Tremors, Loss of Appetite",Colon Cancer,"Reduce sugar intake, Maintain hygiene, Avoid allergens","Steroids, Skin Creams, Inhalers"
"Fever, Blurred Vision, Low Blood Pressure",Hypertension,"Stay hydrated, Avoid allergens, Take vaccines","Dietary Supplements, Oral Rehydration, Antibiotics"
"Headache, Cold Hands",Food Poisoning,"Wear a mask, Rest, Monitor blood pressure",Vitamin Supplements
"Diarrhea, Sensitivity to Light, Numbness, Low Blood Pressure",Malaria,Meditate daily,"Blood Thinners, IV Fluids, Inhalers"
"Heart Palpitations, Fatigue, Sweating, Loss of Appetite",Lung Infection,Drink herbal tea,"Radiation Therapy, Shockwave Therapy"
"Sneezing, Itchy Eyes",Kidney Stones,"Drink herbal tea, Exercise regularly",Cough Syrup
"Memory Loss, Low Blood Pressure, Cough, Mood Swings",Hypertension,"Drink herbal tea, Regular health checkups, Get proper nutrition","Surgery, Psychotherapy"
"Frequent Urination, Chest Pain, Runny Nose",Bronchitis,"Monitor blood pressure, Meditate daily, Reduce salt intake","Cognitive Therapy, IV Fluids"
"Diarrhea, Sensitivity to Light",Hepatitis,"Sleep properly, Avoid allergens","Antiviral Drugs, Insulin, Cough Syrup"
"Nausea, Diarrhea, Low Blood Pressure",Thyroid Disease,"Regular health checkups, Exercise regularly, Avoid allergens",Painkillers
"Fatigue, High Blood Pressure",Glaucoma,Use sunscreen,"Cough Syrup, Insulin, Dietary Supplements"
"Shortness of Breath, Low Blood Pressure",Eczema,Rest,Dietary Supplements
"Sneezing, Itchy Eyes",Typhoid,"Use an inhaler, Meditate daily",Antibiotics
"Sensitivity to Light, Dry Skin, Rash, Headache",Eczema,"Get proper nutrition, Sleep properly, Avoid crowded places","Radiation Therapy, Inhalers"
"Joint Pain, Fever, Tremors, Numbness",Thyroid Disease,"Reduce salt intake, Exercise regularly","Oxygen Therapy, Insulin"
"Cold Hands, Rash, Heart Palpitations, Low Blood Pressure",Bronchitis,"Regular health checkups, Use an inhaler","Vaccination, IV Fluids, Antiviral Drugs"
"Excessive Thirst, Cough, Ear Pain, Tingling Sensation",Eczema,Drink herbal tea,Hormonal Therapy
"Swelling in Legs, Tingling Sensation",Dengue,"Exercise regularly, Regular health checkups, Avoid alcohol","Antifungal Medication, Insulin"
"Joint Pain, Nosebleeds, Heart Palpitations",Epilepsy,"Monitor blood pressure, Sleep properly, Avoid smoking","Blood Thinners, Emergency Medical Help"
"Cold Hands, Back Pain, Memory Loss, Sweating",PCOS,"Avoid crowded places, Avoid allergens, Reduce sugar intake",Cough Syrup
"Joint Pain, Itchy Eyes",Glaucoma,Exercise regularly,"Pacemaker Implantation, Eye Drops, Radiation Therapy"
"Swollen Glands, Dry Skin, Sore Throat, High Blood Pressure",Meningitis,"Wash hands frequently, Monitor blood pressure","Radiation Therapy, Pacemaker Implantation"
"Dry Skin, Joint Pain, Diarrhea",Sciatica,"Stay hydrated, Get proper nutrition",Emergency Medical Help
"Numbness, Dry Skin, Loss of Appetite",Malaria,Wash hands frequently,"Insulin, Anti-inflammatory Drugs, Inhalers"
"Chest Pain, Cold Hands",Thyroid Disease,"Use an inhaler, Monitor blood pressure",Paracetamol
"Sore Throat, Swollen Glands, Rash, Chest Pain",Lupus,Avoid stress,"Insulin, Physiotherapy, Dietary Supplements"
"Tingling Sensation, Ear Pain, Memory Loss, Fever",Liver Disease,"Maintain hygiene, Exercise regularly",Radiation Therapy
"Ear Pain, Weight Loss, Loss of Appetite, Muscle Weakness",Parkinson’s Disease,"Sleep properly, Meditate daily, Monitor blood pressure",Emergency Medical Help
"Ear Pain, Fatigue",Diabetes,"Avoid allergens, Drink herbal tea, Exercise regularly","Chemotherapy, Eye Drops, Cough Syrup"
"Mood Swings, Blurred Vision",Sciatica,"Stay hydrated, Regular health checkups, Take vaccines",Antibiotics
"Fever, Sensitivity to Light",Arrhythmia,"Take vaccines, Avoid alcohol, Wear a mask",Psychotherapy
"Diarrhea, Frequent Urination, Fatigue",Arthritis,Maintain hygiene,Pacemaker Implantation
"Frequent Urination, Rash, Joint Pain",Glaucoma,Avoid smoking,"Skin Creams, Psychotherapy"
"Runny Nose, Sore Throat, Mood Swings, Difficulty Swallowing",Heart Attack,"Maintain hygiene, Regular health checkups","Anti-inflammatory Drugs, Blood Thinners"
"Difficulty Swallowing, Tingling Sensation",Tuberculosis,"Use sunscreen, Wear a mask","Antihistamines, Antifungal Medication"
"Tremors, Sensitivity to Light, Fatigue, Muscle Weakness",Kidney Stones,"Wash hands frequently, Reduce sugar intake","Shockwave Therapy, Vaccination"
"Sensitivity to Light, Tremors, Itchy Eyes",Pancreatitis,Use an inhaler,"Chemotherapy, Psychotherapy, Antihistamines"
"Diarrhea, Back Pain, Cold Hands, Runny Nose",Pneumonia,"Avoid smoking, Maintain hygiene","Antiviral Drugs, Antifungal Medication"
"Runny Nose, Numbness, Rash, Swelling in Legs",Diabetes,"Eat healthy, Stay hydrated, Avoid alcohol",Vitamin Supplements
"Memory Loss, Ear Pain",Meningitis,"Avoid smoking, Sleep properly","Physiotherapy, Vaccination"
"Loss of Appetite, Swelling in Legs, Chest Pain",Colon Cancer,"Take vaccines, Avoid allergens","Radiation Therapy, Blood Thinners, Psychotherapy"
"Rash, Low Blood Pressure, Back Pain",Dengue,"Reduce sugar intake, Monitor blood pressure, Avoid stress",Shockwave Therapy
"Joint Pain, Weight Loss, Fatigue",Pneumonia,Reduce caffeine intake,Dietary Supplements
"Dizziness, Sore Throat, Runny Nose, Tremors",Sciatica,"Drink herbal tea, Rest","Bone Marrow Transplant, Vaccination"
"Frequent Urination, Numbness, Dizziness, Sore Throat",Dengue,"Use an inhaler, Sleep properly","Anti-inflammatory Drugs, Radiation Therapy"
"Dizziness, Sneezing, Sore Throat",Meningitis,"Avoid crowded places, Stay hydrated, Avoid smoking","Dietary Supplements, Painkillers, Steroids"
"Swelling in Legs, Abdominal Pain",Sciatica,Exercise regularly,Bone Marrow Transplant
"Sweating, Runny Nose, Swelling in Legs, Memory Loss",Glaucoma,"Avoid crowded places, Take vaccines","Emergency Medical Help, Antifungal Medication"
"Loss of Appetite, Sweating, Heart Palpitations",Thyroid Disease,Use sunscreen,"Skin Creams, Radiation Therapy"
"Sneezing, Nosebleeds, Weight Loss, Shortness of Breath",Hypertension,"Eat healthy, Use mosquito repellent",Antibiotics
"Frequent Urination, Fever, Numbness, Muscle Weakness",Stroke,Meditate daily,"Blood Thinners, Skin Creams"
"Nosebleeds, Itchy Eyes, Ear Pain",Bronchitis,"Stay hydrated, Use mosquito repellent","Oral Rehydration, Hormonal Therapy"
"Excessive Thirst, Joint Pain, Difficulty Swallowing",Hypertension,"Avoid stress, Eat healthy",Oral Rehydration
"Runny Nose, Memory Loss, Mood Swings, Tremors",Food Poisoning,Use mosquito repellent,Steroids
"Back Pain, Headache, Blurred Vision, Nausea",PCOS,Use sunscreen,"Emergency Medical Help, Insulin, Radiation Therapy"
"Dry Skin, Back Pain, Ear Pain, Sore Throat",Tuberculosis,Get proper nutrition,"Cognitive Therapy, Vaccination"
"Back Pain, Chest Pain, Blurred Vision",Liver Disease,"Meditate daily, Rest",Psychotherapy
"Fatigue, Rash, Loss of Appetite",Mental Stress,"Avoid smoking, Meditate daily","Oxygen Therapy, Paracetamol, IV Fluids"
"Shortness of Breath, Numbness, Sensitivity to Light",Flu,"Reduce salt intake, Avoid smoking","Eye Drops, Physiotherapy"
"Numbness, Low Blood Pressure, Back Pain",Thyroid Disease,Reduce salt intake,"IV Fluids, Antibiotics, Skin Creams"
"High Blood Pressure, Dry Skin, Back Pain",Epilepsy,"Meditate daily, Take vaccines","Antifungal Medication, Physiotherapy"
"Nausea, Runny Nose, Muscle Weakness, Low Blood Pressure",Malaria,Reduce sugar intake,"Physiotherapy, Shockwave Therapy"
"Ear Pain, Swollen Glands, Sensitivity to Light",Sciatica,"Eat healthy, Use an inhaler, Reduce caffeine intake","Pacemaker Implantation, Radiation Therapy"
"Fever, Cough, Nausea, Sneezing",Stroke,"Avoid alcohol, Monitor blood pressure","Antibiotics, Dietary Supplements, Steroids"
"Cold Hands, Blurred Vision",Tuberculosis,"Reduce salt intake, Eat healthy, Meditate daily",Psychotherapy
"Tremors, Excessive Thirst",Pancreatitis,Reduce caffeine intake,"Antihistamines, Bone Marrow Transplant"
"Dry Skin, Loss of Appetite",Liver Disease,"Eat healthy, Regular health checkups","Antihistamines, Pacemaker Implantation"
"Loss of Appetite, Cough, Back Pain",Leukemia,Reduce sugar intake,"Antibiotics, Chemotherapy"
"Runny Nose, Shortness of Breath",Multiple Sclerosis,"Sleep properly, Regular health checkups, Avoid bright lights","Antiviral Drugs, Cough Syrup, Skin Creams"
"Muscle Weakness, Nosebleeds",Liver Disease,"Avoid stress, Wash hands frequently","IV Fluids, Pacemaker Implantation, Vitamin Supplements"
"Nosebleeds, Loss of Appetite, Mood Swings",Brain Tumor,Exercise regularly,"Antibiotics, Oral Rehydration"
"Swollen Glands, Tingling Sensation, Weight Loss",Eczema,Wear a mask,Steroids
"Low Blood Pressure, Tremors, High Blood Pressure, Sore Throat",Vertigo,"Avoid alcohol, Reduce salt intake",Physiotherapy
"Loss of Appetite, Sensitivity to Light, Blurred Vision, Sneezing",Hepatitis,"Sleep properly, Use sunscreen, Avoid stress","Skin Creams, Antifungal Medication, Bone Marrow Transplant"
"Tingling Sensation, Loss of Appetite",Lupus,"Avoid stress, Use sunscreen",Insulin
"Numbness, Mood Swings, Runny Nose, Weight Loss",Tuberculosis,Avoid crowded places,"Vaccination, IV Fluids"
"Cough, Back Pain",Glaucoma,"Reduce salt intake, Avoid allergens",Vaccination
"Shortness of Breath, Loss of Appetite, Nosebleeds, Cough",Arthritis,Reduce salt intake,"Cognitive Therapy, Shockwave Therapy"
"Loss of Appetite, Cough, Fatigue",Hypertension,"Sleep properly, Wear a mask, Take vaccines","Antihistamines, Radiation Therapy, Surgery"
"Ear Pain, Heart Palpitations, Diarrhea, Sneezing",Epilepsy,Sleep properly,"Cough Syrup, Antiviral Drugs, Antibiotics"
"Nausea, Excessive Thirst",Lung Infection,Use sunscreen,"IV Fluids, Bone Marrow Transplant"
"Itchy Eyes, Nosebleeds",Hepatitis,"Use sunscreen, Rest","Hormonal Therapy, Steroids, Oxygen Therapy"
"Numbness, Low Blood Pressure, Sore Throat",Liver Disease,Stay hydrated,"Anti-inflammatory Drugs, Hormonal Therapy, Oral Rehydration"
"Heart Palpitations, Cough",Kidney Stones,"Maintain hygiene, Reduce salt intake, Monitor blood pressure",Chemotherapy
"Nausea, Numbness",Heart Attack,"Get proper nutrition, Take vaccines",Oral Rehydration
"Ear Pain, Sweating, Runny Nose, Nosebleeds",Glaucoma,"Take vaccines, Avoid stress","Insulin, Chemotherapy"
"Runny Nose, Dizziness",Glaucoma,"Drink herbal tea, Exercise regularly","Dietary Supplements, Antifungal Medication"
"Sensitivity to Light, Shortness of Breath, Back Pain, Numbness",Lung Infection,"Use mosquito repellent, Monitor blood pressure",Vaccination
"Loss of Appetite, Fever",Hypertension,Reduce caffeine intake,"Radiation Therapy, Physiotherapy"
"Heart Palpitations, Muscle Weakness",Sinusitis,"Take vaccines, Avoid bright lights","Hormonal Therapy, Inhalers, Painkillers"
"Rash, Joint Pain, Sensitivity to Light",Glaucoma,"Sleep properly, Avoid stress","Chemotherapy, Oxygen Therapy"
"Sensitivity to Light, Tingling Sensation, Itchy Eyes, Heart Palpitations",Pancreatitis,"Exercise regularly, Regular health checkups","Oxygen Therapy, Psychotherapy"
"Ear Pain, Joint Pain",Pancreatitis,"Wash hands frequently, Meditate daily, Reduce salt intake","Vitamin Supplements, Emergency Medical Help, Surgery"
"Muscle Weakness, Frequent Urination",Common Cold,"Avoid allergens, Avoid smoking",Emergency Medical Help
"Fatigue, Weight Loss, Swelling in Legs",Stroke,Rest,"Surgery, Bone Marrow Transplant"
"Tingling Sensation, Joint Pain, Sensitivity to Light",Epilepsy,"Wear a mask, Regular health checkups","Oral Rehydration, Surgery"
"Rash, Mood Swings, Nausea, Muscle Weakness",Lung Infection,"Reduce sugar intake, Use sunscreen",Skin Creams
"Sensitivity to Light, Sore Throat, Fatigue, Dry Skin",Malaria,"Reduce sugar intake, Reduce caffeine intake, Avoid crowded places",IV Fluids
"Mood Swings, Diarrhea, Sweating, Difficulty Swallowing",Parkinson’s Disease,Rest,"Inhalers, Physiotherapy, Vaccination"
"Ear Pain, Muscle Weakness",Flu,"Drink herbal tea, Eat healthy","Eye Drops, IV Fluids, Oxygen Therapy"
"Cough, Rash",Sciatica,"Reduce caffeine intake, Use mosquito repellent","Cough Syrup, Vitamin Supplements"
"Dizziness, Rash, Abdominal Pain",Lung Infection,"Eat healthy, Drink herbal tea, Monitor blood pressure","Oxygen Therapy, Painkillers, IV Fluids"
"Fever, Tremors, Loss of Appetite",Thyroid Disease,Reduce caffeine intake,Insulin
"Difficulty Swallowing, Cold Hands, Fever",Typhoid,"Avoid alcohol, Use sunscreen, Avoid smoking","Oral Rehydration, Insulin"
"Loss of Appetite, Sore Throat, Cold Hands, Joint Pain",Multiple Sclerosis,"Monitor blood pressure, Avoid alcohol, Drink herbal tea","Skin Creams, Antiviral Drugs"
"Nosebleeds, Headache, Numbness",Hypertension,"Drink herbal tea, Reduce sugar intake",Paracetamol
"Itchy Eyes, Joint Pain",Tuberculosis,Avoid allergens,"IV Fluids, Psychotherapy"
"Tremors, Blurred Vision, Ear Pain, Diarrhea",Lung Infection,"Use mosquito repellent, Avoid allergens","Emergency Medical Help, Antibiotics, Shockwave Therapy"
"Dry Skin, Cough, Cold Hands",Hypertension,"Avoid stress, Get proper nutrition","Dietary Supplements, Cognitive Therapy, Skin Creams"
"Tingling Sensation, Abdominal Pain, Sneezing, Loss of Appetite",Hypertension,Monitor blood pressure,"Vaccination, Radiation Therapy, Eye Drops"
"Dizziness, Blurred Vision, Excessive Thirst, Runny Nose",Epilepsy,"Use sunscreen, Reduce salt intake","Emergency Medical Help, Antifungal Medication"
"Frequent Urination, Abdominal Pain, Muscle Weakness",Lung Infection,"Reduce caffeine intake, Wash hands frequently","Antihistamines, Dietary Supplements, Vitamin Supplements"
"Frequent Urination, Cold Hands",Common Cold,Take vaccines,Antifungal Medication
"Muscle Weakness, Memory Loss, Fatigue",Thyroid Disease,"Avoid bright lights, Wear a mask, Use an inhaler","Pacemaker Implantation, Hormonal Therapy, Oral Rehydration"
"Mood Swings, Abdominal Pain, Memory Loss",Diabetes,Wear a mask,Inhalers
"Cough, Dizziness, Blurred Vision, Difficulty Swallowing",Liver Disease,Maintain hygiene,"Anti-inflammatory Drugs, IV Fluids"
"Excessive Thirst, Sore Throat, Mood Swings, Runny Nose",Malaria,"Sleep properly, Avoid crowded places","Inhalers, Radiation Therapy, IV Fluids"
"Sweating, Sore Throat, Sneezing, Fever",Dengue,Regular health checkups,"Radiation Therapy, Bone Marrow Transplant, Chemotherapy"
"Swollen Glands, Fever, Dry Skin, Cold Hands",Pneumonia,Avoid crowded places,"Oral Rehydration, Pacemaker Implantation, Insulin"
"Loss of Appetite, Excessive Thirst, Heart Palpitations, Nosebleeds",Anemia,"Regular health checkups, Eat healthy, Reduce sugar intake",Blood Thinners
"Tremors, Blurred Vision",Diabetes,"Avoid crowded places, Use sunscreen","Chemotherapy, Anti-inflammatory Drugs"
"Fever, Numbness, Sneezing",Hypertension,Wash hands frequently,"Antiviral Drugs, Inhalers"
"Fever, Blurred Vision, Loss of Appetite, Cough",Malaria,"Avoid smoking, Use sunscreen, Monitor blood pressure","Antifungal Medication, Cognitive Therapy, Antiviral Drugs"
"Diarrhea, Fever, Weight Loss",Thyroid Disease,Reduce caffeine intake,"Psychotherapy, Inhalers, Vitamin Supplements"
"Abdominal Pain, Loss of Appetite, Nausea, Dizziness",Sinusitis,"Take vaccines, Avoid bright lights","Radiation Therapy, Antihistamines"
"Muscle Weakness, Swollen Glands",Lupus,"Exercise regularly, Avoid stress, Reduce caffeine intake","Surgery, Psychotherapy"
"Ear Pain, Nausea, Heart Palpitations",Heart Attack,"Reduce sugar intake, Use an inhaler, Drink herbal tea","Emergency Medical Help, Surgery"
"Swelling in Legs, Sweating",Pancreatitis,Monitor blood pressure,"Bone Marrow Transplant, Emergency Medical Help"
"Nausea, Difficulty Swallowing, Memory Loss",Dengue,Use sunscreen,"Antifungal Medication, Physiotherapy"
"Dizziness, Weight Loss, Sweating, Low Blood Pressure",Liver Disease,"Avoid alcohol, Wash hands frequently",Antifungal Medication
"Muscle Weakness, Tremors",Typhoid,"Avoid alcohol, Avoid smoking, Take vaccines","Dietary Supplements, Painkillers, Pacemaker Implantation"
"Runny Nose, Tremors, Heart Palpitations, Abdominal Pain",Lung Infection,Monitor blood pressure,Antifungal Medication
"High Blood Pressure, Swollen Glands, Runny Nose, Headache",Multiple Sclerosis,"Reduce caffeine intake, Exercise regularly, Maintain hygiene",IV Fluids
"Difficulty Swallowing, Shortness of Breath, Weight Loss, Dry Skin",Lupus,Avoid stress,"Chemotherapy, Antibiotics"
"Blurred Vision, Diarrhea, Tingling Sensation, Memory Loss",Migraine,"Monitor blood pressure, Reduce salt intake",Oxygen Therapy
"Abdominal Pain, Heart Palpitations",Mental Stress,"Exercise regularly, Drink herbal tea, Get proper nutrition","Shockwave Therapy, Skin Creams"
"Dizziness, Itchy Eyes, Mood Swings",Glaucoma,Maintain hygiene,Anti-inflammatory Drugs
"Weight Loss, Joint Pain, Heart Palpitations, Cough",Sinusitis,Regular health checkups,"Skin Creams, Dietary Supplements"
"Tingling Sensation, Nausea",Parkinson’s Disease,Reduce sugar intake,Vaccination
"Loss of Appetite, Ear Pain, Numbness",Multiple Sclerosis,"Avoid allergens, Regular health checkups, Rest","Anti-inflammatory Drugs, Surgery"
"Low Blood Pressure, Weight Loss, Swollen Glands",Pneumonia,"Avoid stress, Drink herbal tea, Take vaccines","Antihistamines, Chemotherapy, Painkillers"
"Frequent Urination, Swollen Glands",Colon Cancer,"Maintain hygiene, Monitor blood pressure, Use an inhaler",Psychotherapy
"Sensitivity to Light, Runny Nose, Excessive Thirst, Fever",Food Poisoning,Monitor blood pressure,IV Fluids
"Fever, Heart Palpitations, Muscle Weakness, Swollen Glands",Anemia,Wash hands frequently,Insulin
"Weight Loss, Swollen Glands",Brain Tumor,"Avoid smoking, Avoid alcohol",Painkillers
"Fatigue, Dry Skin, Swollen Glands, High Blood Pressure",Leukemia,"Take vaccines, Stay hydrated, Monitor blood pressure","Anti-inflammatory Drugs, Emergency Medical Help"
"Nosebleeds, Shortness of Breath",Lupus,"Avoid alcohol, Avoid smoking","Radiation Therapy, Antihistamines"
"Low Blood Pressure, Sensitivity to Light, Numbness, Dry Skin",PCOS,"Avoid allergens, Avoid stress, Regular health checkups",Antifungal Medication
"Frequent Urination, Low Blood Pressure, High Blood Pressure",Malaria,"Use an inhaler, Use sunscreen","Blood Thinners, Psychotherapy, Chemotherapy"
"Loss of Appetite, Rash, Weight Loss",PCOS,"Avoid stress, Wash hands frequently, Stay hydrated","Antibiotics, Physiotherapy, Oral Rehydration"
"Joint Pain, Cough",Eczema,"Exercise regularly, Avoid smoking, Reduce sugar intake",Physiotherapy
"Cold Hands, Dry Skin, Mood Swings, Runny Nose",Leukemia,"Wear a mask, Take vaccines","Chemotherapy, Cough Syrup, Vaccination"
"Chest Pain, Nosebleeds",Pneumonia,Eat healthy,Skin Creams
"High Blood Pressure, Excessive Thirst",Lupus,"Exercise regularly, Sleep properly","Anti-inflammatory Drugs, Physiotherapy, Eye Drops"
"Nausea, Cough, Rash",Bronchitis,"Exercise regularly, Eat healthy, Use an inhaler","Psychotherapy, Cough Syrup"
"Fever, Back Pain, Sweating",Vertigo,Take vaccines,Cough Syrup
"Itchy Eyes, Shortness of Breath",Colon Cancer,Eat healthy,Paracetamol
"Chest Pain, Excessive Thirst, Joint Pain",Hypertension,"Eat healthy, Take vaccines, Sleep properly","Radiation Therapy, Vaccination, Anti-inflammatory Drugs"
"Headache, Numbness, Sweating",Typhoid,"Exercise regularly, Reduce caffeine intake","Vitamin Supplements, Pacemaker Implantation, Bone Marrow Transplant"
"Diarrhea, Heart Palpitations",Migraine,Take vaccines,Insulin
"Excessive Thirst, Cough, Weight Loss, Nosebleeds",Vertigo,"Avoid bright lights, Meditate daily, Rest",Skin Creams
"Blurred Vision, Memory Loss, Mood Swings, Sore Throat",Sciatica,Reduce caffeine intake,"Psychotherapy, Paracetamol"
"Loss of Appetite, Tingling Sensation",Typhoid,Reduce salt intake,Antifungal Medication
"Dry Skin, Sneezing, Frequent Urination",Sinusitis,"Avoid smoking, Wash hands frequently, Monitor blood pressure","Cognitive Therapy, Vaccination"
"Dry Skin, Cold Hands",Thyroid Disease,"Monitor blood pressure, Sleep properly","Antifungal Medication, Vitamin Supplements, Psychotherapy"
"Sensitivity to Light, Dizziness, Cold Hands",Malaria,Use an inhaler,Antiviral Drugs
"Dry Skin, Cough",Stroke,Avoid allergens,Psychotherapy
"Memory Loss, Diarrhea",Multiple Sclerosis,"Use mosquito repellent, Get proper nutrition, Avoid crowded places",Psychotherapy
"High Blood Pressure, Sensitivity to Light, Mood Swings",Sciatica,"Reduce salt intake, Drink herbal tea, Stay hydrated","Antihistamines, Surgery, Oral Rehydration"
"Muscle Weakness, Shortness of Breath, High Blood Pressure, Sweating",Colon Cancer,Avoid smoking,"Shockwave Therapy, Eye Drops, Bone Marrow Transplant"
"Swollen Glands, Frequent Urination, Abdominal Pain, Cold Hands",Bronchitis,"Use sunscreen, Stay hydrated","Dietary Supplements, Antihistamines"
"Shortness of Breath, Sensitivity to Light",Epilepsy,Eat healthy,"Cough Syrup, Inhalers, Dietary Supplements"
"Dizziness, Mood Swings, Tingling Sensation, Swelling in Legs",Migraine,"Sleep properly, Exercise regularly","Cognitive Therapy, Chemotherapy, Shockwave Therapy"
